	sniff_time	dest_ip	dest_port
132	2018-03-18 13:22:08.505860	60	TCP
133	2018-03-18 13:22:08.761466	90	SSH
134	2018-03-18 13:22:08.761642	90	SSH
135	2018-03-18 13:22:08.761812	60	TCP
136	2018-03-18 13:22:08.857460	90	SSH
137	2018-03-18 13:22:08.857625	90	SSH
138	2018-03-18 13:22:08.857793	60	TCP
139	2018-03-18 13:22:08.985808	90	SSH
140	2018-03-18 13:22:08.985989	90	SSH
141	2018-03-18 13:22:08.986154	60	TCP
142	2018-03-18 13:22:09.065395	90	SSH
143	2018-03-18 13:22:09.065553	90	SSH
144	2018-03-18 13:22:09.065714	60	TCP
145	2018-03-18 13:22:09.209346	90	SSH
146	2018-03-18 13:22:09.209510	90	SSH
147	2018-03-18 13:22:09.209643	60	TCP
148	2018-03-18 13:22:09.433587	90	SSH
149	2018-03-18 13:22:09.433768	90	SSH
150	2018-03-18 13:22:09.433904	60	TCP
151	2018-03-18 13:22:09.561361	90	SSH
152	2018-03-18 13:22:09.561533	90	SSH
153	2018-03-18 13:22:09.561701	60	TCP
154	2018-03-18 13:22:09.657420	90	SSH
155	2018-03-18 13:22:09.657580	90	SSH
156	2018-03-18 13:22:09.657734	60	TCP
157	2018-03-18 13:22:09.721454	90	SSH
158	2018-03-18 13:22:09.721627	90	SSH
159	2018-03-18 13:22:09.721809	60	TCP
160	2018-03-18 13:22:10.024941	90	SSH
161	2018-03-18 13:22:10.026521	69	DNS
162	2018-03-18 13:22:10.027048	90	SSH
163	2018-03-18 13:22:10.027215	60	TCP
164	2018-03-18 13:22:10.045303	101	DNS
165	2018-03-18 13:22:10.045449	98	ICMP
166	2018-03-18 13:22:10.045615	114	SSH
167	2018-03-18 13:22:10.045784	60	TCP
168	2018-03-18 13:22:10.103098	98	ICMP
169	2018-03-18 13:22:10.103229	87	DNS
170	2018-03-18 13:22:10.121670	146	DNS
171	2018-03-18 13:22:10.121826	138	SSH
172	2018-03-18 13:22:10.121967	60	TCP
173	2018-03-18 13:22:10.328977	90	SSH
174	2018-03-18 13:22:10.329121	90	SSH
175	2018-03-18 13:22:10.329268	60	TCP
176	2018-03-18 13:22:10.329949	106	SSH
177	2018-03-18 13:22:10.330067	60	TCP
178	2018-03-18 13:22:10.665478	90	SSH
179	2018-03-18 13:22:10.665682	90	SSH
180	2018-03-18 13:22:10.665812	60	TCP
181	2018-03-18 13:22:10.762802	90	SSH
182	2018-03-18 13:22:10.762974	90	SSH
183	2018-03-18 13:22:10.763150	60	TCP
184	2018-03-18 13:22:10.857352	90	SSH
185	2018-03-18 13:22:10.857521	90	SSH
186	2018-03-18 13:22:10.857614	60	TCP
187	2018-03-18 13:22:11.023409	90	SSH
188	2018-03-18 13:22:11.023609	90	SSH
189	2018-03-18 13:22:11.023734	60	TCP
190	2018-03-18 13:22:11.082020	90	SSH
191	2018-03-18 13:22:11.082236	90	SSH
192	2018-03-18 13:22:11.082412	60	TCP
193	2018-03-18 13:22:11.145669	90	SSH
194	2018-03-18 13:22:11.146340	90	SSH
195	2018-03-18 13:22:11.146531	60	TCP
196	2018-03-18 13:22:11.273432	90	SSH
197	2018-03-18 13:22:11.273606	90	SSH
198	2018-03-18 13:22:11.273741	60	TCP
199	2018-03-18 13:22:11.376111	90	SSH
200	2018-03-18 13:22:11.376320	90	SSH
201	2018-03-18 13:22:11.376468	60	TCP
202	2018-03-18 13:22:11.465468	90	SSH
203	2018-03-18 13:22:11.465639	90	SSH
204	2018-03-18 13:22:11.465770	60	TCP
205	2018-03-18 13:22:11.513391	90	SSH
206	2018-03-18 13:22:11.513557	90	SSH
207	2018-03-18 13:22:11.513729	60	TCP
208	2018-03-18 13:22:11.613908	90	SSH
209	2018-03-18 13:22:11.614726	90	SSH
210	2018-03-18 13:22:11.614939	60	TCP
211	2018-03-18 13:22:11.714014	92	DNS
212	2018-03-18 13:22:11.715078	98	SSH
213	2018-03-18 13:22:11.715249	60	TCP
214	2018-03-18 13:22:11.719561	90	SSH
215	2018-03-18 13:22:11.719725	60	TCP
216	2018-03-18 13:22:11.720505	90	DNS
